iter	Passed	Remaining
414	3257	4592
415	3264	4583
416	3272	4575
417	3280	4567
418	3288	4560
419	3295	4551
420	3304	4544
421	3311	4535
422	3319	4528
423	3326	4519
424	3334	4511
425	3341	4502
426	3349	4494
427	3357	4486
428	3364	4478
429	3372	4470
430	3380	4462
431	3388	4455
432	3397	4449
433	3405	4441
434	3412	4432
435	3420	4424
436	3427	4416
437	3435	4408
438	3443	4399
439	3450	4391
440	3458	4383
441	3465	4375
442	3472	4366
443	3480	4358
444	3488	4350
445	3495	4341
446	3503	4334
447	3511	4326
448	3519	4318
449	3526	4309
450	3535	4303
451	3542	4295
452	3550	4287
453	3558	4279
454	3565	4271
455	3573	4262
456	3581	4255
457	3588	4246
458	3596	4239
459	3603	4230
460	3611	4222
461	3618	4214
462	3626	4205
463	3634	4198
464	3641	4189
465	3649	4181
466	3656	4173
467	3664	4165
468	3673	4158
469	3680	4150
470	3688	4142
471	3696	4134
472	3703	4126
473	3712	4119
474	3720	4112
475	3728	4104
476	3735	4095
477	3743	4087
478	3750	4079
479	3759	4072
480	3766	4064
481	3774	4056
482	3782	4048
483	3789	4040
484	3797	4032
485	3805	4024
486	3814	4017
487	3821	4009
488	3829	4001
489	3836	3993
490	3844	3985
491	3852	3977
492	3860	3969
493	3867	3961
494	3876	3954
495	3883	3946
496	3891	3938
497	3898	3930
498	3907	3923
499	3914	3914
500	3922	3906
501	3930	3898
502	3937	3890
503	3946	3883
504	3955	3877
505	3963	3869
506	3971	3861
507	3978	3853
508	3986	3845
509	3994	3837
510	4001	3829
511	4009	3822
512	4017	3813
513	4025	3806
514	4033	3798
515	4041	3790
516	4048	3782
517	4056	3774
518	4063	3766
519	4071	3758
520	4078	3750
521	4086	3742
522	4094	3734
523	4102	3726
524	4110	3718
525	4118	3710
526	4126	3703
527	4133	3695
528	4141	3687
529	4149	3679
530	4156	3671
531	4164	3663
532	4172	3656
533	4180	3647
534	4188	3640
535	4195	3631
536	4203	3623
537	4210	3615
538	4219	3608
539	4227	3601
540	4240	3597
541	4249	3590
542	4257	3582
543	4264	3575
544	4272	3567
545	4280	3559
546	4288	3551
547	4296	3543
548	4303	3535
549	4311	3527
550	4319	3519
551	4326	3511
552	4334	3503
553	4341	3495
554	4351	3489
555	4359	3481
556	4367	3473
557	4375	3465
558	4382	3457
559	4392	3451
560	4400	3443
561	4409	3436
562	4417	3428
563	4426	3421
564	4434	3413
565	4442	3406
566	4451	3399
567	4460	3392
568	4467	3384
569	4476	3376
570	4484	3369
571	4495	3363
572	4503	3356
573	4513	3349
574	4522	3342
575	4531	3335
576	4539	3328
577	4548	3320
578	4557	3313
579	4566	3306
580	4575	3299
581	4583	3292
582	4592	3284
583	4600	3277
584	4609	3270
585	4618	3262
586	4628	3256
587	4637	3249
588	4647	3242
589	4656	3236
590	4665	3229
591	4675	3222
592	4683	3214
593	4692	3207
594	4700	3199
595	4709	3192
596	4716	3183
597	4725	3176
598	4732	3168
599	4740	3160
600	4748	3152
601	4756	3144
602	4764	3136
603	4771	3128
604	4779	3120
605	4786	3112
606	4794	3104
607	4802	3096
608	4810	3088
609	4817	3080
610	4825	3072
611	4832	3063
612	4840	3055
613	4847	3047
614	4855	3039
615	4862	3031
616	4870	3023
617	4878	3015
618	4885	3007
619	4893	2999
620	4901	2991
621	4909	2983
622	4917	2975
623	4924	2967
624	4932	2959
625	4944	2954
626	4959	2950
627	4970	2944
628	4978	2936
629	4987	2928
630	4996	2921
631	5004	2914
632	5012	2906
633	5021	2898
634	5030	2891
635	5039	2884
636	5048	2876
637	5056	2869
638	5065	2861
639	5074	2854
640	5084	2847
641	5094	2841
642	5104	2833
643	5113	2826
644	5123	2819
645	5133	2812
646	5142	2805
647	5152	2798
648	5161	2791
649	5170	2783
650	5180	2776
651	5188	2769
652	5198	2762
653	5208	2755
654	5218	2748
655	5228	2741
656	5237	2734
657	5247	2727
658	5255	2719
659	5265	2712
660	5273	2704
